I-1.mzXML height,I-10.mzXML height,I-11.mzXML height,I-12.mzXML height,I-13.mzXML height,I-14.mzXML height,I-15.mzXML height,I-16.mzXML height,I-17.mzXML height,I-18.mzXML height,I-19.mzXML height,I-2.mzXML height,I-20.mzXML height,I-21.mzXML height,I-22.mzXML height,I-3.mzXML height,I-4.mzXML height,I-5.mzXML height,I-6.mzXML height,I-7.mzXML height,I-8.mzXML height,I-9.mzXML height,J-67.mzXML height,J-68.mzXML height,J-69.mzXML height,J-70.mzXML height,J-71.mzXML height,J-72.mzXML height,J-73.mzXML height,J-74.mzXML height,J-75.mzXML height,J-76.mzXML height,J-77.mzXML height,J-78.mzXML height,J-79.mzXML height,J-80.mzXML height,J-81.mzXML height,J-82.mzXML height,J-83.mzXML height,J-84.mzXML height,J-85.mzXML height,J-86.mzXML height,J-87.mzXML height,J-88.mzXML height,Li-23.mzXML height,Li-24.mzXML height,Li-25.mzXML height,Li-26.mzXML height,Li-27.mzXML height,Li-28.mzXML height,Li-29.mzXML height,Li-30.mzXML height,Li-31.mzXML height,Li-32.mzXML height,Li-33.mzXML height,Li-34.mzXML height,Li-35.mzXML height,Li-36.mzXML height,Li-37.mzXML height,Li-38.mzXML height,Li-39.mzXML height,Li-40.mzXML height,Li-41.mzXML height,Li-42.mzXML height,Li-43.mzXML height,Li-44.mzXML height,Lu-101.mzXML height,Lu-102.mzXML height,Lu-103.mzXML height,Lu-104.mzXML height,Lu-105.mzXML height,Lu-106.mzXML height,Lu-107.mzXML height,Lu-108.mzXML height,Lu-109.mzXML height,Lu-110.mzXML height,Lu-89.mzXML height,Lu-90.mzXML height,Lu-91.mzXML height,Lu-92.mzXML height,Lu-93.mzXML height,Lu-94.mzXML height,Lu-95-rerun2.mzXML height,Lu-96.mzXML height,Lu-97.mzXML height,Lu-98.mzXML height,Lu-99.mzXML height,M-45.mzXML height,M-46.mzXML height,M-47.mzXML height,M-48.mzXML height,M-49.mzXML height,M-50.mzXML height,M-51.mzXML height,M-52.mzXML height,M-53.mzXML height,M-54.mzXML height,M-55.mzXML height,M-56.mzXML height,M-57.mzXML height,M-58.mzXML height,M-59.mzXML height,M-60.mzXML height,M-61.mzXML height,M-62.mzXML height,M-63.mzXML height,M-64.mzXML height,M-65.mzXML height,M-66.mzXML height
501294.5313,2373302.75,2453866.25,2156922,3257928,1541209.664,2530485.75,4093974.187,1689242.125,1882347.431,2418930.25,1830228.875,1300317.625,3394599.75,1400191.829,815456.625,2307156.5,2293207.75,1590270.875,4349836,3505491.5,2810638.5,2695459,3635152.25,2886909.402,3201790.25,3078732,3252011,3207869.75,866995.3689,2919170.5,330485.7188,2689424.207,2821443.5,2298179.75,3135333.5,2193478.25,1965106.75,3567262.5,3015894.921,3568182,2074767.125,2753560.5,3373343,,2204283.75,2427224,1653422.375,2017672.625,232393.1563,2526367.75,746355.5,,909065.3125,1147357.75,1476824,443181.5313,974369.4375,,632502.875,,,1202121.846,1741520.5,778018.8125,1101091.625,105656.6154,260531.5781,270643.9688,,305009,215063.3906,186880.8246,,,173578.2554,1858748.75,,173823.5448,,365718.5,,,179325.5,,211219.6372,230517.1094,8388096,8388096,8388096,8388096,8288032.5,8388096,8297755.5,8140829.313,8388096,8388096,8349807,8388096,8388096,7949653.5,6385961,6832324.468,7859722.5,8159233,7316203.5,8079504,,7192059.746
5253913,5712490,6334308,5117824,6855545,5965049,7420745.5,6999290.5,6707021.5,5895147,6243882.5,5673820.5,6789776.914,5696011,5023461.5,5571905,4950680,5449203.5,5460083,5880949,6520809,6006315.5,4348273,7035677.5,6585023,6184747,8030686.828,6445142,6766482,3410980.965,6122955.5,5083172,6398839.5,7354910.709,8089004.622,6158289.26,6067768,7078093.5,6222774.512,6305870.5,4445172,5950395.151,6935987,6429094.768,4264378.798,4586249.5,4963821,5213536.5,4944956.5,6115566.517,6255007.843,6788257.5,5664553.5,5108608,5707025,6645939.057,7481792.5,3941343.818,6605481,4932591.732,5071115.369,4258196.5,8299525,5531105.5,4403079.517,6447538,6228026.614,7864341.5,6063987,6539004.5,4899217,3715062.5,5232438.5,4853506,5638839.5,4535122.5,6491741,4821785.5,3624388,3708018,5310003.789,1293382.5,8216941.748,4139656,,3435033.75,4676027.5,7260276.786,8388096,7436368.407,6838582,6912767,6062651,6183259.5,5889733,3480351.25,6813551.5,4378610,8388096,6503297.5,7163409.5,6064215.5,4049071.688,3751037.75,5607600,8388096,4600617.5,,3158477.75
1133414.25,2063651.5,1879729.717,1263662.942,1833531,1099498.75,2173338,2940619.25,2546745.25,2577148.25,2398070.75,1374177.5,2797346.75,2165711.75,2078886,1227555,1824751.375,2008526.25,912335.1949,1909257.375,1037485.5,2395982,2377343.853,1842240.375,2717840,1562722.25,884019.5625,1341088.409,1742857.125,2841342.75,1723885.5,1398302.375,1372810.58,874631.9745,1073863.875,1658820.451,1196077.5,1342132.625,2332222,2364342.5,2609381,1270455.75,2009305.875,1603552.5,2142143.87,8032997.5,4960735.004,3595585.75,3965842.241,3712601.513,6286346,2761020.75,8386237.5,3524878.25,3996083.5,3883577.25,4255888,5969750,3446673.416,5145531.5,5043357,5259197.5,6955139,5510210.5,5789019.991,4688627.5,2049298.5,2658239,1837253,,2321296,1930823.625,2311919,2034459,2060521.25,1947553.875,2906079.25,1676071.375,1587997.625,1302185.493,2037010.148,,,1504319.5,,1548646.625,,1356548,2577793,2148590.75,1926498,1237020.875,1953175.625,785035.875,1653362.5,1248028.625,1122421.38,2182261.5,2176411.402,1883757,2098067.605,1446466.5,2033901.5,2098002.25,3977746.25,2230015,1864634.75,,2622773.25
4817540.348,6536843.5,6573539,5912567,6455832,6116671.5,6704096,6778499,5984106.863,6583025.5,6152213.198,5991061,6240596,5937723.604,5967931.5,5371220.194,5925674,5886932.855,5344129.5,6333530.5,5756424.5,6540108,6180883,6335104.5,6303832,6071787.829,6090216.5,4440886.943,6139726,5666370.5,6085844.793,3096758.216,6123405.5,5883852.5,6021008,6096027,5859485.5,6036871.5,6112453.5,6297161.5,6547496,6317115,6736289.5,6022467.5,7758338.5,8167363.5,7939396.5,7771027.5,8256221,7349393.5,8206599,6787744.5,8158746,7732582.5,7367416,7232131.5,7903162.5,7820392,6938762.5,7183700.537,7373067,6741719,8243072,7449957.111,7761756,7424577,6643850.5,6190043,6383632,6234400.5,6481334,6114123,6449685.5,6078007.5,6437353.5,6109694.5,6345692,6101812,5569681.5,6188875.5,6322252.705,1270263.375,8377642.5,6286279,214872.3994,5078661.5,6292154,5571940.076,5053481.298,5412268.5,4771067.398,3295287.807,4914995.5,5104954.5,4667235.5,4709029.5,4888025.5,5205162.5,4884372.68,5213801.937,5168022,5238698.5,4593646.5,4839710.5,5176150.5,5958183,5101667,4497984.5,5352148
1387670.875,1401226.125,1704320.5,903197.5125,,5542478.5,1301281.504,1475015.797,1804082.375,1925826.528,1786135.277,,504412.158,,1556830.27,684414.1854,793325.1136,1042414.886,912891.7497,1957339.731,978108.2369,1574323.31,,1145173.749,799078.4375,1574004.679,807602.8818,,,1429373.875,1474384.297,1316553.875,,,,,,802329.9453,2255299.25,,1566981.72,684697.6426,,760636.0645,,6583011,2171176.764,,4979909,2025875.578,3895051.75,1406698.899,8156457,4266438.5,,1798359.263,2853654.996,6211006.5,,4849394.126,5089073,2087697.625,4918943,6660584.5,4339368.806,,,,,,,,,448018.6875,,,,,,,892222.4238,,1596755.593,,,1091713.415,171784.997,,,840226.6907,683485.7857,,,613372.6875,450697.3834,717869.6875,,,,,,,,,421809.3351,,,,
5435651.5,5424725.5,5518975,5088123.5,5909901.5,3963433.671,6772307,6041402,5895581,4419654.152,5783237,4539093.935,5559334,5303013.5,4888028.5,4878467.5,3241331.767,2948845,4355748.096,5111991,5383171,5568947.5,3582841.064,5717015.5,5776824.5,3280565.137,6033513.5,6186151.5,5765494,1709542.5,4666621.523,2015877.75,5809219.5,6709718.5,4439048.805,6141039.323,6471661.5,5644941.525,6255493.5,6846840,4992298,6010233,6311947.863,6004267.373,5097747,7381732,6945082.5,7818811.5,7677240.926,7508007.5,7372043,6904429,8120929.5,4956682.303,7820089,6852731.5,6592577,6717214,6904983.172,4205840.786,6662666,7553720,5988274.103,7269835,7174919.923,6322441.084,6057756,7034690.5,7134357,3553377.285,7983266.5,7601094.5,6642295,7249158,7759212.5,6644909.973,7013315,7336371,5314420.574,6662749.5,7183402,1846840.875,3322010.25,7083293.311,379553.125,6522097.5,6828095.5,3929553.889,2504088.5,4579937.837,4649610.5,2690814.168,2646259.75,4020068.598,4172611,4252993.5,2524915.406,4348779.5,4118974.5,4305275,2566143.25,4489213,2733098.75,4458473.5,5038083,2691987.25,4654938,,4349780.573
,,,2076700.703,,4539401.952,2533848.384,2402364.085,3224363.072,,2740373,1370772.875,1650655.992,2212851,,,1719159,,2287829.5,2923343.5,1910396.25,2618952.223,,2752984.25,2123965.5,,1716193.85,1687777.5,2403345,2103712.29,3407046.25,2613918.736,1765509,,1505791.906,2485951.949,1195210.625,,3334930,2081840.5,2419556.623,1560626.184,,,,6202817.5,4917508.378,4917081,7920757.5,3499959.5,7388659.9,5533585,6533239,,,4444639.782,3602516.691,6703460,2083974.638,3662528.5,2823019.75,2908282.25,5812676.291,5803230.5,4040813.25,4866717.5,977048.406,2054067.375,1078149.75,,,,,1625058.571,,,2753168.5,1432215.875,1001504,1081867.773,2026889.672,,799988.6095,1793040.75,,,1426832.625,,,,,1363963.875,,,,,2456755.75,1166221.872,,1286674,1793954.966,,1646949.121,,1796046.118,,1461370.625,,
,,,2626009.75,,,3545720.25,,,2487254.372,3099208.58,,1198978.461,,,2286598.768,1873163.053,2231860.5,,,4650455.874,,2446376,1627192.232,,,,7652014.5,6524373,,4125062.461,,,4932111.5,1758897.75,,962109.8992,,4147860.25,,1687215.823,2670530.794,875903.4961,2406399.785,,,,,,,5904438.5,,1108615.273,2409644,1539942.337,1436295.495,,,1218418.71,,,,,2443919.5,,,,1507792.75,1691290.5,,1706586.744,,1091064.75,,,1204294.875,569223.875,,532051.5,,,,4833054,,,,,,,,,,,,,,,,,,,,,,,,211042.4175,,
301486.9205,704524.3125,542633,326827.5003,559031.125,514230.7188,558251.2429,1490183.5,491804.9954,649024.7303,610190,558536.25,753055.6411,1118991.322,369820.5237,449833.6474,787695.625,915858.5,283907.8554,837678.2789,326911.2188,1215963.25,283370,395000.9375,1601565.625,311135.0307,,441566.8643,419430.4688,,,,215734.8244,,263851,458895.3125,275934.7813,291570.0313,789187.3125,611346.2287,474015.3444,350236.8605,579596.5615,354037,1023733.188,6525361.134,2618965.334,2713397.75,1623703.773,2073717.875,3193938,960172.6875,7159983.5,2132440.25,2303637,1945666.125,2047342.125,2859562.75,1723768.875,3262541.5,4459979.5,4342075.5,3676635.25,306924.8603,4491547,3069371,593139.125,912229.6549,324653.7832,8388096,652705.2357,776495.9375,839491.875,871432.8282,585466.5,700540.9875,1400090.25,574200.4566,570594.375,482272.8396,911949.625,,264701.5912,618646.8833,,842338.1383,664435.9375,1162522.75,2311506.75,1305057.991,1002098.188,717749.0405,1307975.625,453930.339,1236599.29,1013976,932338.125,1520207.375,1940808.5,1598056.875,1833234.875,757854.375,1549645.875,2136023.326,5158741,706987.0279,1855682.125,,1464037.125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2042429.875,3270008.75,,895307.1352,2596722.75,1776673.109,2039356.678,3000421.598,4058748.5,5452643,4605896,4519883,6893402.5,3568792.5,4997324.5,3785886.437,6752687.5,6223205.041,2285249.94,4532219.174,,2319070.5
426066.134,1001297.332,1089651.988,677802.625,962791.1,590825.6747,910109.992,1185608.659,1038955.545,823406.8125,1007558.313,649246.3013,777773.9375,843469.0632,615758.8019,679420.5663,812319.6721,786937.4605,470337.0625,966996.8797,1014120.067,1058976.625,2330117.5,2517596.75,1279249.221,1513773.5,1318890.892,1628434.508,866950.1875,1098633.122,1608371.75,706109.4912,1257802,1339460.402,761103.7449,1173441.24,810852.8871,1147302.75,1269749.5,1788656.11,2016424,932734.0472,980926.0065,1099599.015,1513957.806,5533918.937,3032682.261,3653019.5,5019289,2851474.181,3132179.407,2191692.371,6845949.005,3256001.205,3037345.342,2692895.243,3196800.75,3953254.25,2098533.599,2930530.887,4244980,3457224.75,4500135.5,4170951.75,3486930.3,3317073,2106967.684,2221310.084,2257907.665,3872889,2105402.5,1424321.625,1833841.032,1887242.75,1734387.5,1223135.125,757498.4878,1145530,1038218.563,1180935.875,1881107.329,,,1125497.356,,1015629.113,1833461.243,258320.2957,351548.0109,261108.4755,372835.5806,,,,189637.7969,,200378.2225,,316190.0832,337247.9063,303837.0625,,,269744.9085,459103.1971,,330182.7813,,313058.0938
,,630028.2146,,567866.25,,1464965.75,796663.625,1249089.5,,,,,520106.3438,328306.8827,,488721.5625,,307003.1563,,,428743.207,,,,,,,1011725.563,,,,,,400712.0191,,,,,,471879.9362,,411305.482,,631193.4375,2784271.172,3605333.958,1491800.875,4685857,,6771321,3618129,2812905.25,1510821.236,,2061496.25,1106989.125,1993722.5,1190555.981,748338.2062,,485586.125,2140270.5,2370899.25,696574.9924,1678752,,531838.1875,584909.5,,341835.8125,,,565538.9193,,,1240901.25,,,,634030.5,,,667391.0625,,,,,,,255372.4688,,,386313.3384,,,191671.2947,,292623.616,,,,,,,,,,
,408565.2813,254709.9523,,,,362811.6912,,,,,,252998.9311,,,,,,,,326187.5938,274454.0625,717856.6236,828887.8727,,,,521479.8438,309933.7566,509964.2209,,,294790.8429,252309.5756,179994.2921,,,,476127.5,,1095242.533,176782.5597,173671.2344,,,5041602.286,784774.7417,6191266,1171832.336,4159888.028,745695.1357,,5734291.699,596703.846,4935897.329,1932403.571,4040601.891,2390305.5,2176957,3365715.039,2548514.656,2144025.262,4839596.524,1893521.328,3500044.232,3371894,,,459370.551,,,,,,,,733817.2024,,353723.1608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2627923.5,,,353238.8374,1931123.75,336297.2188,1816485.75,,,,686840.3393,3918499.5,226059.5781,278937.1304,,,,,1120079.301,3740148.25,2073617.485,,6137157.5,4139935.707,,,5393463,,,,,,2102246.693,3902497.987,,1303255.847,868856.294,,1341515.081,534512.2249,940366.6235,767901.625,382979.6122,,5139778.973,3085139.352,,1204530.059,2483296.75,882075.322,1336560,779640.7567,1816010.851,,1505057.603,383444.0549,1270221.625,1264791.993,567114.6323,,639617.25,305069.2618,372405.1252,,,398830.1528,365128.5558,1055896.5,458484.0938,,462259.4443,266553.2389,,633712.966,133633.3336,205882.1267,,805387.75,643620.6542,321163.7373,,,,758515.1875,,,939724.2361,,279244.9966,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,113026.2775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60853.09988,,5219560.5,5482603.5,929612.8125,4334295.5,1300219.75,6072071.81,1984295.554,438339.9688,4646339,372005.1875,3099546.805,834456.4375,4190821.5,,,,,3021074,2704369.25,,,,,,,,,,135311.4659,,,1027868,166371.2969,,,,,,,,,,,232270.252,,,,,,,,,,,,,,,,,,,,
,3999367.75,3365151.012,2173958.5,,3667669.25,4533162.795,3994947.33,,3086960.75,3956576,3510056,3573528.269,4962465,,2542307.91,2937483.367,4413472.5,2106296.75,4440731,2365200.472,5251113.5,3214384.081,3130435.5,4181855.75,1754349.5,2931566.5,2391820,2269406.101,3984811.916,1878747.107,1019826,,3169427.5,2949383,4405601.5,,2085241.013,2733892.75,,2828374.75,2326305.574,2462269.25,,3702020.25,,360553.9063,457088.5625,322396.4688,448294.7227,201110.4928,600627.5,793480.1858,,676738.4581,311691.25,796724.4557,528065.5,632345.9375,486529.2298,954552.3125,563092.0029,404704.5358,330052.4063,829663.5625,611768.8839,3138153.5,2864722.75,2870936.007,3978928,4782111.5,2684444.703,3374301,3386076.5,2995602,,353540.25,2890647,2603694.5,,3520416.75,523574.6875,,,154841.9844,1977321.875,3087607.531,,376838.3633,,,,227434.1138,,165571.7969,,169633.0139,251339.0781,,248756.9691,197982.125,,,,348090.4063,229499.2694,144780.0372,,228502.5568
,363581.4375,,,410189.6948,,238526.6181,363731.625,416234.9375,372272.1897,479954.8309,,320671.596,,,,,,164564.1094,,,222002.1563,505420.7407,778102.1875,478067.8125,,472766.5625,,143885.1872,216622.9802,,,178162.3281,539622.6875,137252.0884,281533.6383,130451.0732,221992.6842,,196735.0404,305936.2188,,,,,5114394,1620005.229,2845260.23,447910.9375,2068154.971,518361.2317,,4594059,,1518093.375,689633.375,2408817.25,826874.7519,887599.3125,1393044.953,1611052.339,1050001.041,2526256.5,1055111.875,1558734.25,1177021.175,,,,,,,,,,,906154.835,,112298.1953,,,,,44031.31581,,,,,,,,,,,,,,,111916.2939,,76360.4605,,,,,,,,
,542363.9967,569004.328,487186.6242,570995.625,481263.7813,,595856.5625,552725.6203,572131.75,568685.7095,,,496701.5353,,435763.7041,,,,,,581254.5,760464.4795,1221494,925482.8496,908696.5,947307.0625,,651696.2827,,814515.4392,,,883983.625,645514.8412,670264.3283,,462551.129,796424.0775,771441.3724,951479.3366,732556.0141,,,690526.9375,2012080.562,2334090.75,2750648,2755890.318,2550496.997,2699715.75,2317425,3240503.137,2486763.13,2737411.75,2325802.801,2849534.957,1830556.594,2467851.5,2777394.772,2998858.5,2576762.75,3125582.75,2872807.476,2931373.75,2840334.25,1108998.284,944795.4311,1268070,1348633.49,1541847.04,1276692.375,1334980.265,1334202.5,,627000.4988,525576.7703,592619.2938,,715203.774,889282.1929,,1556265.125,,,650635.2964,851436.375,3801265.75,,4422221.5,4523214.5,4607505.5,4230798.5,2353442,3068451.25,2437157.25,2031180.375,4111029,707536.5403,1512561.625,4123783.25,3620075,3703025.75,3832429.5,4889277.5,3557692.75,3230341.5,,3817274.75
,,,,195295.9235,,,,,350066.9063,475901.1241,,278216.7413,,,,,,,,90782.57365,,69137.125,,,,,,,323526.516,,,,,,173844.6417,,,,277539.0625,332458.5625,,130693.9605,,,238565.75,,,,,575471.5,322372.3855,707431.125,996037.8125,364191.125,284016.7354,297244.6374,612749.4375,329152.073,439000.6049,375748.6577,463938.1316,946339.0625,668471.5625,589647.125,755771.25,447913.4063,676194,,575929.75,388869,377427.4726,397447.6933,441302.4745,,551999.1494,299528.9063,527135.3125,480225.375,304757.9375,750987.625,,877246.3682,,,426858.4966,414954.6875,581941.3125,1390848.75,1910177.125,1225272.875,899220.375,1340090.988,749462.4059,1429098.375,1474305.375,1842694.375,1705908.5,524104.3438,2299216.5,1952760.375,2069572.75,3540842.25,1803034,4401827,3141699.5,1361009.021,,3893796.5
68693.34022,282489.8305,,455239.2813,,,237918.0285,,309320.7208,592132.125,,,242923.7344,,78062.00781,80067.34375,90307.36313,,,152483.8433,314385.8501,129973.929,383495.8649,213355.4116,46582.92969,149260.2344,,615072.0057,487327.0625,159738.046,481638.7813,,206913.1406,,,,,,175676.955,89247.70261,,,135674.2188,,,,370083.0625,843871.4375,641842.25,,3136194.854,340835.9441,3977207.685,1261742.5,,765730.3125,,673238.194,739857.75,580669.375,854386.8525,1515783.181,383131.6888,1094236.875,2627779.521,574387.6937,,154044.8345,,,70108.30839,,,181194.1877,,,,,,,,,,,,130476.248,,,,,,,,42889.12539,,,209937.5,,,,,,,,,,,,
269731.0483,,,,500760.7813,,436656.9688,,692580.25,339492.2977,397515.4613,393980.9396,,381990.875,275616.5397,296838.2657,255105.4845,,,968084.3661,316006.522,,895508.3431,617170.2792,,429162.6212,353359.9329,458546.714,182164.8702,,470595.9018,,559666.6043,492339.2188,313355.7055,,286623.6513,358067.375,749400.3125,453005.7085,374623.1861,267568.1563,378861.8228,295257.8448,375168.7783,3221972.847,703938.9315,1346911.75,,,1090249.917,1371685.944,3924079,802149.5625,,,1996537.75,3777252.75,583554.4375,1964331.531,,2025650.211,1850013,2220828.351,3579491.75,1183886.759,547255.7906,1001136.625,270284.6875,836109.125,,,,629792.625,534336.8125,449182.3698,874935.875,,256372.5888,393847.72,464963.2813,,287080.6762,287744.1693,,227592.3587,,219152.5154,,,,233494.198,,,,,,,,444990.7788,,,,,122933.8098,231284.5106,,,
244103.8906,,416102.1036,147564.5469,306566.3438,177669.9804,393093.4324,234791.2157,407118.375,,400132.1215,,280203,,,183284.6307,353154,235644.257,155586.2948,434548.75,,286888.8689,649206.7888,798520.5625,285357.8634,798441.25,,916928.9375,298552.7188,358391.6563,736825.5641,,604566.5289,,,412700.0817,269536.5609,421468.5043,658740.6875,897658.625,634918.8958,358419.2188,409047.4375,334233.4702,568455.0625,3724649.5,1395309.604,2623112.75,1726208.044,2010734.835,2083609.625,1498257.375,3909335.75,1634548.375,1112402.691,1518443.146,3036352.75,2528238.75,1629194.227,1414584.448,,1649313,,1293996.132,1999066.098,1984671.572,775616.4375,1089896.625,580203.5,473906.4375,,,817002.9967,720800.6045,772040.625,641642.2922,627267.5139,698140.7141,432403.0079,,923559.7919,114146.3795,,446823.3643,,579919.625,,183709.5169,,327231.6875,158482.2156,107775.9738,212723.9089,145765.5838,189017.5049,,173709.0877,178423.3973,192394.2656,157263.1364,202359.625,193989.25,184213.6598,147526.3087,256054.6165,,,,135244.5938
,116193.2674,,,,,,,,,,,,,,102027.7891,164879.75,54945.02435,,,123603.4219,262044.1006,,,,,,,,,291557.5938,,,206370.8906,,,,,,,,,,,,266211.9375,,,,470141.7188,,,377694.25,,,,,,,,259428.8906,958501.5664,353689.8235,,542670.125,,1162594.875,3898654.25,374042.7813,675515.0625,1102511.746,826313.6875,1248554.5,1991332,3768519.5,1212272.25,,,,657953.5,717368.375,,365071.0498,,,460313.5625,,,,,,,,,,,,,,,,,,,,,,,
525439.125,675441.6875,,575158.732,692540.8569,435869.8016,609423.75,728698.0625,700936.9375,690466.5,506212.5594,655032.7587,606239.3125,502757.0566,504715.6875,592510.875,522112.9384,575609.1325,437826.3632,652667.4375,671041.9461,651875.375,1306693.056,1663329.439,1244356.047,1201223.911,1237477.969,1380243.759,978524.8125,996521.0565,1165453.75,621135.4375,1038771.386,1165016.25,671307.9375,787432.485,681255.516,996628.1684,1095383.625,1182831.625,1267182.5,934674,,941490.5,634927.75,2365447.75,2083765.492,2668789.937,2455736.65,2610526.531,2744632.448,2218582.315,3889594.251,3036811.75,2868413.75,2692726.75,2684897.705,2955334.891,2354541.577,2247228.749,3222861,2663710.472,3397916.25,3109536.067,2877060.876,3026563.5,1126141.624,1284579.5,1271822.092,1650273.869,1688838.75,1401228.75,1528316.125,1562901.5,1235846.057,1225869.875,518343.3005,740915.375,731515.625,810077,1064913.75,,2163092.5,766405.375,213650.1598,760458.875,1007212.313,755995.866,,543328.3125,326353.6704,,336116.108,263792.8531,,150862.0475,247442.7656,236807.0313,,,,,,,194430.9581,,,,
,,309451.2813,525778.0625,379282.2936,,698200.0625,,247584.3578,,909495.8125,,,,,247821.405,331671.6241,186409.8245,396367.2229,,450873.8438,,790956.7425,,327875,,302196.9931,,,524470.8125,954263.7097,675287.5066,,282245.125,311806.5,,309747.4375,,,,292863.2225,301994.7216,,279746.5938,,697770.631,,565594.8429,733774.75,412810.7887,,,,3574994.25,748394.5,688798.1579,618747.8016,,441783.7188,,,452774.625,,1289964.25,281721.7484,731623.125,,597330.0625,488326.5,,,,382078.5313,,381792.7188,,326602.7813,320233.4373,237313.5938,,574556.026,,1096277.125,442602.4063,,,,224701.2031,433293.569,311596.115,242109.7969,579776.125,227613.875,347736.1723,480559.9688,303307.7188,888581.5625,599015.4405,1052750.125,578322.4783,640719.3125,,,386664.6563,,285570.4461,616882.1875,,347229.4688
,1179444.202,,1326218.75,,,,1606747.875,,1550208.375,1564809.375,,,,1108210.625,,,,,,,1390660.875,2349867.25,,1693765.875,,2171159.5,2271876,,1649567.75,1723448.571,,1873442.375,1839819.875,,,,,2117581.25,1716707.875,,,1698253.125,1540398.875,,,,2789939,2736986,2985703,3374567.25,2399329.5,,2455878.5,2752268.239,3405045,,3173318,2428866,,,,3477986.75,,,,1753514.5,1841671.375,,2601854.5,2069375.75,1544741.25,1586829,,1496058.5,1317989,,1190182.375,1043207.188,,,180942.1406,,1202011.5,,1095635.5,,,2886778.5,2500244.25,2060127,2316014.25,2005693.125,1696032.25,,1508165.375,1871190.875,1961743.625,2346086.25,1853728.625,1759550.75,1295163.402,1861999.25,1784729.75,,1921667.25,,,1449971.625
1284509.625,2027545.145,,2027525.625,,2604290.25,1726621.75,1729456.383,2479589.25,2405981.25,2281688.5,,1564028.25,1617214.375,958047.5871,1368220.375,948166.9375,745020.875,1512484,2262414.918,1117186.125,1654420.625,1774832,1914360.125,1813041.625,1307200,1162785.5,1550662.241,2210092.25,1679466.875,2519648.75,1748706.946,1091118.264,1104988,1038116.5,1414727.125,822509.25,1514237.75,2572839.75,777519.125,1663573.75,712729.8371,732164.9085,1092955.063,1583036.625,3022937.5,2099184.75,1879411.013,2278094.75,1963942.125,2808077.25,1458914.75,3138197.25,3323592.75,1565905.557,2379157.314,1933673.125,1602847.858,1158942.322,1538634.75,1592868.5,1109882.028,1953387.125,1240790.673,1363169,1573535.875,1253681.5,1606660.875,1218754.75,1192276.875,1101543.375,784724.3125,1594312.625,1340817.25,1038607.625,1383639.683,809540.5625,1551708.445,1154171.625,1145397.25,2313672,,2619936.25,1398367.895,,2214844.5,1462890.625,787592.499,1282064.625,1075179.772,893815.6875,1062491.125,919446.1875,1246509.375,1088889.201,933387.8258,1552040.375,1177460.268,1592762,1276388.125,1149074.375,805955.1875,1318170.125,960920.125,,1213017.948,781665.3125,,1241665.707
,,161573.7591,163537.5013,,204390.5972,,,254798.6406,,,,,,102226.9219,,139198.3438,,,,158217.5781,215128.4688,,130279.9853,,,,123100.9979,186439.461,,262513.0887,116073.5156,,94623.81388,,,,,,239409.4219,,,140596.7562,,,543885.9293,1308745.625,1202646.75,1808640.25,625753.0535,3260333.5,1858591.875,1458091.625,2296706.749,806131.125,810518.4783,846210.25,1900662.5,535478.6369,1239687.375,1125898.125,954854.5452,1555115.028,2078585.962,1186970.5,1759211.875,,,167204.5823,,,,,,,,678805.2467,,,,,,335084.1905,,,,,107030.7819,,,,114778.1929,,,177575.4219,,129103.2568,,,,102772.848,,,,,,,,
,219465.8957,146300.692,56779.84918,140630.6579,,147666.7043,132401.5424,314317.7206,,213890.1885,,225338.7309,199858.9093,,,,106174.5628,,,,,,,,,,195037.7885,,,,,133388.9479,193161.9294,,124125.2033,,130886.3623,172672.7761,224791.1798,366033.8565,75120.5224,,101044.8339,,541632.4635,,827542.125,256992.7609,759595.9471,,,1871204.125,234055.5905,1371932.75,,3054137.208,1900778.5,1504214.625,,2335108.25,2296188,3205242.75,2715717.5,2866579.661,2283156,,139090.9395,88003.11678,163173.6726,,175457.9518,194083.3246,,,,866596.2818,,182757.7813,,,,,,,,,,,,,,,,,,,,,64611.66541,,,,,,,,,
