,accession,name,chemical_formula,average_molecular_weight,monisotopic_molecular_weight,iupac_name,traditional_iupac,cas_registry_number,smiles,inchi,inchikey
48,HMDB0002354,Hawkinsin,C11H17NO6S,291.321,291.077657971,"2-amino-3-{[2-(carboxymethyl)-2,5-dihydroxycyclohex-3-en-1-yl]sulfanyl}propanoic acid",hawkinsin,63224-90-8,NC(CSC1CC(O)C=CC1(O)CC(O)=O)C(O)=O,"InChI=1S/C11H17NO6S/c12-7(10(16)17)5-19-8-3-6(13)1-2-11(8,18)4-9(14)15/h1-2,6-8,13,18H,3-5,12H2,(H,14,15)(H,16,17)",SPXVLTDISXZSFM-UHFFFAOYSA-N
49,HMDB0002381,N-Acetylcystathionine,C9H16N2O5S,264.299,264.077992322,(2S)-2-amino-4-[(2-carboxy-2-acetamidoethyl)sulfanyl]butanoic acid,(2S)-2-amino-4-[(2-carboxy-2-acetamidoethyl)sulfanyl]butanoic acid,20619-80-1,CC(=O)NC(CSCC[C@H](N)C(O)=O)C(O)=O,"InChI=1S/C9H16N2O5S/c1-5(12)11-7(9(15)16)4-17-3-2-6(10)8(13)14/h6-7H,2-4,10H2,1H3,(H,11,12)(H,13,14)(H,15,16)/t6-,7?/m0/s1",QWACVTVBTRSCRL-PKPIPKONSA-N
50,HMDB0002467,A-Ketoglutaric acid oxime,C5H7NO5,161.1128,161.032422339,(2E)-2-(hydroxyimino)pentanedioic acid,α-ketoglutaric acid oxime,2211-15-6,O\N=C(/CCC(O)=O)C(O)=O,"InChI=1S/C5H7NO5/c7-4(8)2-1-3(6-11)5(9)10/h11H,1-2H2,(H,7,8)(H,9,10)/b6-3+",RSXBEVMDACDZRB-ZZXKWVIFSA-N
51,HMDB0002472,"(3a,5b,7a,12a)-24-[(carboxymethyl)amino]-1,12-dihydroxy-24-oxocholan-3-yl-b-D-Glucopyranosiduronic acid",C32H51NO12,641.7468,641.341126101,"(2S,3S,4S,5R,6R)-6-{[(1S,2S,5R,7R,9R,10R,11S,15R,16S)-14-[(2R)-4-[(carboxymethyl)carbamoyl]butan-2-yl]-9,16-dihydroxy-2,15-dimethyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-5-yl]oxy}-3,4,5-trihydroxyoxane-2-carboxylic acid","(2S,3S,4S,5R,6R)-6-{[(1S,2S,5R,7R,9R,10R,11S,15R,16S)-14-[(2R)-4-(carboxymethylcarbamoyl)butan-2-yl]-9,16-dihydroxy-2,15-dimethyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-5-yl]oxy}-3,4,5-trihydroxyoxane-2-carboxylic acid",99794-78-2,[H][C@@]12CCC([C@H](C)CCC(=O)NCC(O)=O)[C@@]1(C)[C@@H](O)C[C@@]1([H])[C@@]2([H])[C@H](O)C[C@]2([H])C[C@@H](CC[C@]12C)O[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O,"InChI=1S/C32H51NO12/c1-14(4-7-22(36)33-13-23(37)38)17-5-6-18-24-19(12-21(35)32(17,18)3)31(2)9-8-16(10-15(31)11-20(24)34)44-30-27(41)25(39)26(40)28(45-30)29(42)43/h14-21,24-28,30,34-35,39-41H,4-13H2,1-3H3,(H,33,36)(H,37,38)(H,42,43)/t14-,15+,16-,17?,18+,19+,20-,21+,24+,25+,26+,27-,28+,30-,31+,32-/m1/s1",BWWWIHHYPYDOJQ-BSGVGGAOSA-N
52,HMDB0002511,"3,4,5-Trimethoxycinnamic acid",C12H14O5,238.2366,238.084123558,"(2E)-3-(3,4,5-trimethoxyphenyl)prop-2-enoic acid","3,4,5-trimethoxycinnamic acid",90-50-6,COC1=CC(\C=C\C(O)=O)=CC(OC)=C1OC,"InChI=1S/C12H14O5/c1-15-9-6-8(4-5-11(13)14)7-10(16-2)12(9)17-3/h4-7H,1-3H3,(H,13,14)/b5-4+",YTFVRYKNXDADBI-SNAWJCMRSA-N
53,HMDB0002904,"2,3-Dinor-TXB2",C18H30O6,342.4272,342.204238692,"(3Z)-5-[(2R,3S,4S)-4,6-dihydroxy-2-[(1E,3S)-3-hydroxyoct-1-en-1-yl]oxan-3-yl]pent-3-enoic acid","2,3-dinor-thromboxane",63250-09-9,CCCCC[C@H](O)\C=C\[C@H]1OC(O)C[C@H](O)[C@@H]1C\C=C/CC(O)=O,"InChI=1S/C18H30O6/c1-2-3-4-7-13(19)10-11-16-14(8-5-6-9-17(21)22)15(20)12-18(23)24-16/h5-6,10-11,13-16,18-20,23H,2-4,7-9,12H2,1H3,(H,21,22)/b6-5-,11-10+/t13-,14-,15-,16+,18?/m0/s1",RJHNVFKNIJQTQF-LMIBIYGPSA-N
54,HMDB0002927,Naringin,C27H32O14,580.5346,580.179205732,"(2S)-7-{[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-{[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy}oxan-2-yl]oxy}-5-hydroxy-2-(4-hydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-4-one",naringin,10236-47-2,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2OC2=CC(O)=C3C(=O)C[C@H](OC3=C2)C2=CC=C(O)C=C2)[C@H](O)[C@H](O)[C@H]1O,"InChI=1S/C27H32O14/c1-10-20(32)22(34)24(36)26(37-10)41-25-23(35)21(33)18(9-28)40-27(25)38-13-6-14(30)19-15(31)8-16(39-17(19)7-13)11-2-4-12(29)5-3-11/h2-7,10,16,18,20-30,32-36H,8-9H2,1H3/t10-,16-,18+,20-,21+,22+,23-,24+,25+,26-,27+/m0/s1",DFPMSGMNTNDNHN-ZPHOTFPESA-N
55,HMDB0002928,Maltitol,C12H24O11,344.3124,344.13186161,"(2S,3R,4R,5R)-4-{[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}hexane-1,2,3,5,6-pentol",maltitol,585-88-6,OC[C@H](O)[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,"InChI=1S/C12H24O11/c13-1-4(16)7(18)11(5(17)2-14)23-12-10(21)9(20)8(19)6(3-15)22-12/h4-21H,1-3H2/t4-,5+,6+,7+,8+,9-,10+,11+,12+/m0/s1",VQHSOMBJVWLPSR-WUJBLJFYSA-N
56,HMDB0002937,Tamarixetin,C16H14O7,318.2782,318.073952802,"3,5,7-trihydroxy-2-(3-hydroxy-4-methoxyphenyl)-3,4-dihydro-2H-1-benzopyran-4-one",quercetin 4'-methyl ether,603-61-2,COC1=C(O)C=C(C=C1)C1OC2=CC(O)=CC(O)=C2C(=O)C1O,"InChI=1S/C16H14O7/c1-22-11-3-2-7(4-9(11)18)16-15(21)14(20)13-10(19)5-8(17)6-12(13)23-16/h2-6,15-19,21H,1H3",KQNGHARGJDXHKF-UHFFFAOYSA-N
57,HMDB0002991,Cysteamine,C2H7NS,77.149,77.029919919,2-aminoethane-1-thiol,cysteamine,60-23-1,NCCS,"InChI=1S/C2H7NS/c3-1-2-4/h4H,1-3H2",UFULAYFCSOUIOV-UHFFFAOYSA-N
58,HMDB0003012,Aniline,C6H7N,93.1265,93.057849229,aniline,aniline,62-53-3,NC1=CC=CC=C1,"InChI=1S/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2",PAYRUJLWNCNPSJ-UHFFFAOYSA-N
59,HMDB0003180,Cortol,C21H36O5,368.5075,368.256274262,"(1S,2S,5R,7R,10S,11S,14R,15S,17S)-14-[(1S)-1,2-dihydroxyethyl]-2,15-dimethyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecane-5,14,17-triol",cortol,516-38-1,[H][C@@]12CC[C@](O)([C@@H](O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CC[C@]2([H])C[C@H](O)CC[C@]12C,"InChI=1S/C21H36O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h12-18,22-26H,3-11H2,1-2H3/t12-,13-,14+,15+,16+,17+,18-,19+,20+,21+/m1/s1",FFPUNPBUZDTHJI-XPOJVAQCSA-N
60,HMDB0003364,Quinone,C6H4O2,108.0948,108.021129372,"cyclohexa-2,5-diene-1,4-dione",quinone,106-51-4,O=C1C=CC(=O)C=C1,InChI=1S/C6H4O2/c7-5-1-2-6(8)4-3-5/h1-4H,AZQWKYJCGOJGHM-UHFFFAOYSA-N
61,HMDB0003391,2-Phospho-D-glyceric acid,C3H7O7P,186.0572,185.99293909,(2R)-3-hydroxy-2-(phosphonooxy)propanoic acid,(+-)-2-phosphoglycerate,3443-57-0,OC[C@@H](OP(O)(O)=O)C(O)=O,"InChI=1S/C3H7O7P/c4-1-2(3(5)6)10-11(7,8)9/h2,4H,1H2,(H,5,6)(H2,7,8,9)/t2-/m1/s1",GXIURPTVHJPJLF-UWTATZPHSA-N
62,HMDB0003402,Pectin,C6H10O7,194.1394,194.042652674,"(2S,3R,4S,5R,6R)-3,4,5,6-tetrahydroxyoxane-2-carboxylic acid",β-D-galactopyranuronic acid,9000-69-5,O[C@@H]1O[C@@H]([C@H](O)[C@H](O)[C@H]1O)C(O)=O,"InChI=1S/C6H10O7/c7-1-2(8)4(5(10)11)13-6(12)3(1)9/h1-4,6-9,12H,(H,10,11)/t1-,2+,3+,4-,6+/m0/s1",AEMOLEFTQBMNLQ-DTEWXJGMSA-N
63,HMDB0003411,D-Proline,C5H9NO2,115.1305,115.063328537,(2R)-pyrrolidine-2-carboxylic acid,D-proline,344-25-2,OC(=O)[C@H]1CCCN1,"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m1/s1",ONIBWKKTOPOVIA-SCSAIBSYSA-N
64,HMDB0003447,Tryptophol,C10H11NO,161.2004,161.084063979,2-(1H-indol-3-yl)ethan-1-ol,tryptophol,526-55-6,OCCC1=CNC2=C1C=CC=C2,"InChI=1S/C10H11NO/c12-6-5-8-7-11-10-4-2-1-3-9(8)10/h1-4,7,11-12H,5-6H2",MBBOMCVGYCRMEA-UHFFFAOYSA-N
65,HMDB0003601,(S)-Reticuline,C19H23NO4,329.3902,329.162708229,"(1S)-1-[(3-hydroxy-4-methoxyphenyl)methyl]-6-methoxy-2-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol","(+,-)-reticuline",485-19-8,COC1=C(O)C=C(C[C@@H]2N(C)CCC3=CC(OC)=C(O)C=C23)C=C1,"InChI=1S/C19H23NO4/c1-20-7-6-13-10-19(24-3)17(22)11-14(13)15(20)8-12-4-5-18(23-2)16(21)9-12/h4-5,9-11,15,21-22H,6-8H2,1-3H3/t15-/m0/s1",BHLYRWXGMIUIHG-HNNXBMFYSA-N
66,HMDB0003747,Resveratrol,C14H12O3,228.247,228.078644246,"5-[(E)-2-(4-hydroxyphenyl)ethenyl]benzene-1,3-diol",resveratrol,501-36-0,OC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1,"InChI=1S/C14H12O3/c15-12-5-3-10(4-6-12)1-2-11-7-13(16)9-14(17)8-11/h1-9,15-17H/b2-1+",LUKBXSAWLPMMSZ-OWOJBTEDSA-N
67,HMDB0003903,2-Hydroxyethanesulfonate,C2H6O4S,126.132,125.99867937,2-hydroxyethane-1-sulfonic acid,sodium isethionate,107-36-8,OCCS(O)(=O)=O,"InChI=1S/C2H6O4S/c3-1-2-7(4,5)6/h3H,1-2H2,(H,4,5,6)",SUMDYPCJJOFFON-UHFFFAOYSA-N
68,HMDB0004025,Pregnanediol,C21H36O2,320.517,320.271530399,"(1S,2S,5R,7R,10R,11S,14S,15S)-14-[(1S)-1-hydroxyethyl]-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadecan-5-ol","(1S,2S,5R,7R,10R,11S,14S,15S)-14-[(1S)-1-hydroxyethyl]-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadecan-5-ol",80-92-2,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)O,"InChI=1S/C21H36O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h13-19,22-23H,4-12H2,1-3H3/t13-,14+,15+,16-,17+,18-,19-,20-,21+/m0/s1",YWYQTGBBEZQBGO-BERLURQNSA-N
69,HMDB0004095,5-Methoxytryptamine,C11H14N2O,190.2417,190.11061308,2-(5-methoxy-1H-indol-3-yl)ethan-1-amine,5 methoxytryptamine,608-07-1,COC1=CC2=C(NC=C2CCN)C=C1,"InChI=1S/C11H14N2O/c1-14-9-2-3-11-10(6-9)8(4-5-12)7-13-11/h2-3,6-7,13H,4-5,12H2,1H3",JTEJPPKMYBDEMY-UHFFFAOYSA-N
70,HMDB0004370,N-Methyltryptamine,C11H14N2,174.2423,174.115698458,[2-(1H-indol-3-yl)ethyl](methyl)amine,methyltryptamine,61-49-4,CNCCC1=CNC2=CC=CC=C12,"InChI=1S/C11H14N2/c1-12-7-6-9-8-13-11-5-3-2-4-10(9)11/h2-5,8,12-13H,6-7H2,1H3",NCIKQJBVUNUXLW-UHFFFAOYSA-N
71,HMDB0004883,Trihexosylceramide (d18:1/24:1(15Z)),C60H111NO18,1134.5192,1133.780115753,"(15E)-N-[(4E)-1-[(5-{[3,4-dihydroxy-6-(hydroxymethyl)-5-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}oxan-2-yl]oxy}-3,4-dihydroxy-6-(hydroxymethyl)oxan-2-yl)oxy]-3-hydroxyoctadec-4-en-2-yl]tetracos-15-enamide","(15E)-N-[(4E)-1-[(5-{[3,4-dihydroxy-6-(hydroxymethyl)-5-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}oxan-2-yl]oxy}-3,4-dihydroxy-6-(hydroxymethyl)oxan-2-yl)oxy]-3-hydroxyoctadec-4-en-2-yl]tetracos-15-enamide",Nah,CCCCCCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C1O)NC(=O)CCCCCCCCCCCCC\C=C\CCCCCCCC,"InChI=1S/C60H111NO18/c1-3-5-7-9-11-13-15-17-18-19-20-21-22-23-24-26-28-30-32-34-36-38-48(66)61-43(44(65)37-35-33-31-29-27-25-16-14-12-10-8-6-4-2)42-74-58-54(72)51(69)56(46(40-63)76-58)79-60-55(73)52(70)57(47(41-64)77-60)78-59-53(71)50(68)49(67)45(39-62)75-59/h17-18,35,37,43-47,49-60,62-65,67-73H,3-16,19-34,36,38-42H2,1-2H3,(H,61,66)/b18-17+,37-35+",FZLJBZZCTNZGFA-YOPMPTLHSA-N
72,HMDB0004887,Trihexosylceramide (d18:1/25:0),C61H115NO18,1150.5617,1149.811415881,"N-[(4E)-1-[(5-{[3,4-dihydroxy-6-(hydroxymethyl)-5-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}oxan-2-yl]oxy}-3,4-dihydroxy-6-(hydroxymethyl)oxan-2-yl)oxy]-3-hydroxyoctadec-4-en-2-yl]pentacosanamide","N-[(4E)-1-[(5-{[3,4-dihydroxy-6-(hydroxymethyl)-5-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}oxan-2-yl]oxy}-3,4-dihydroxy-6-(hydroxymethyl)oxan-2-yl)oxy]-3-hydroxyoctadec-4-en-2-yl]pentacosanamide",Nah,CCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C1O)C(O)\C=C\CCCCCCCCCCCCC,"InChI=1S/C61H115NO18/c1-3-5-7-9-11-13-15-17-18-19-20-21-22-23-24-25-27-29-31-33-35-37-39-49(67)62-44(45(66)38-36-34-32-30-28-26-16-14-12-10-8-6-4-2)43-75-59-55(73)52(70)57(47(41-64)77-59)80-61-56(74)53(71)58(48(42-65)78-61)79-60-54(72)51(69)50(68)46(40-63)76-60/h36,38,44-48,50-61,63-66,68-74H,3-35,37,39-43H2,1-2H3,(H,62,67)/b38-36+",KTCNLGUVWRZEDW-BSKJHSHCSA-N
73,HMDB0005084,N-Acetyl-leukotriene E4,C25H39NO6S,481.645,481.249808675,"(5R,6S,7E,9E,11Z,14Z)-6-{[(2S)-2-carboxy-2-acetamidoethyl]sulfanyl}-5-hydroxyicosa-7,9,11,14-tetraenoic acid","(5R,6S,7E,9E,11Z,14Z)-6-{[(2S)-2-carboxy-2-acetamidoethyl]sulfanyl}-5-hydroxyicosa-7,9,11,14-tetraenoic acid",80115-95-3,CCCCC\C=C/C\C=C/C=C/C=C/[C@H](SC[C@@H](NC(C)=O)C(O)=O)[C@H](O)CCCC(O)=O,"InChI=1S/C25H39NO6S/c1-3-4-5-6-7-8-9-10-11-12-13-14-17-23(22(28)16-15-18-24(29)30)33-19-21(25(31)32)26-20(2)27/h7-8,10-14,17,21-23,28H,3-6,9,15-16,18-19H2,1-2H3,(H,26,27)(H,29,30)(H,31,32)/b8-7-,11-10-,13-12+,17-14+/t21-,22-,23+/m1/s1",BGGYAYMMFYBWEX-KDFQUNDDSA-N
74,HMDB0005785,Indole-3-carbinol,C9H9NO,147.1739,147.068413915,(1H-indol-3-yl)methanol,indole-3-carbinol,700-06-1,OCC1=CNC2=C1C=CC=C2,"InChI=1S/C9H9NO/c11-6-7-5-10-9-4-2-1-3-8(7)9/h1-5,10-11H,6H2",IVYPNXXAYMYVSP-UHFFFAOYSA-N
75,HMDB0005788,Theaflavin,C29H24O12,564.4937,564.126776232,"3,4,5-trihydroxy-1,8-bis[(2R,3R)-3,5,7-trihydroxy-3,4-dihydro-2H-1-benzopyran-2-yl]-6H-benzo[7]annulen-6-one",theaflavin,4670-05-7,O[C@@H]1CC2=C(O)C=C(O)C=C2O[C@@H]1C1=CC(O)=C(O)C2=C(O)C(=O)C=C(C=C12)[C@H]1OC2=C(C[C@H]1O)C(O)=CC(O)=C2,"InChI=1S/C29H24O12/c30-11-3-17(32)15-8-21(36)28(40-23(15)5-11)10-1-13-14(7-20(35)27(39)25(13)26(38)19(34)2-10)29-22(37)9-16-18(33)4-12(31)6-24(16)41-29/h1-7,21-22,28-33,35-37,39H,8-9H2,(H,34,38)/t21-,22-,28-,29-/m1/s1",IPMYMEWFZKHGAX-ZKSIBHASSA-N
76,HMDB0006045,Dityrosine,C18H20N2O6,360.3612,360.132136382,2-amino-3-{4-[4-(2-amino-2-carboxyethyl)-2-hydroxyphenyl]-3-hydroxyphenyl}propanoic acid,2-amino-3-{4-[4-(2-amino-2-carboxyethyl)-2-hydroxyphenyl]-3-hydroxyphenyl}propanoic acid,980-21-2,NC(CC1=CC(O)=C(C=C1)C1=CC=C(CC(N)C(O)=O)C=C1O)C(O)=O,"InChI=1S/C18H20N2O6/c19-13(17(23)24)5-9-1-3-11(15(21)7-9)12-4-2-10(8-16(12)22)6-14(20)18(25)26/h1-4,7-8,13-14,21-22H,5-6,19-20H2,(H,23,24)(H,25,26)",FHOZGLMQYMAREG-UHFFFAOYSA-N
77,HMDB0006070,Pregnanetriol,C21H36O3,336.5087,336.266445018,"(1S,2S,5R,7R,10R,11S,14R,15S)-14-(1-hydroxyethyl)-2,15-dimethyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecane-5,14-diol","5β-pregnane-3α,17α,20α-triol",27178-64-9,[H][C@@]12CC[C@](O)(C(C)O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@]2([H])C[C@H](O)CC[C@]12C,"InChI=1S/C21H36O3/c1-13(22)21(24)11-8-18-16-5-4-14-12-15(23)6-9-19(14,2)17(16)7-10-20(18,21)3/h13-18,22-24H,4-12H2,1-3H3/t13?,14-,15-,16-,17+,18+,19+,20+,21+/m1/s1",SCPADBBISMMJAW-HWPIAJDMSA-N
78,HMDB0006268,N-Acetylneuraminate 9-phosphate,C11H20NO12P,389.2498,389.072311621,"(4R,5S,6S)-6-[(1R,2R)-1,2-dihydroxy-3-(phosphonooxy)propyl]-5-acetamido-2,4-dihydroxyoxane-2-carboxylic acid","(4R,5S,6S)-6-[(1R,2R)-1,2-dihydroxy-3-(phosphonooxy)propyl]-5-acetamido-2,4-dihydroxyoxane-2-carboxylic acid",Nah,CC(=O)N[C@H]1[C@H](O)CC(O)(O[C@@H]1[C@H](O)[C@H](O)COP(O)(O)=O)C(O)=O,"InChI=1S/C11H20NO12P/c1-4(13)12-7-5(14)2-11(19,10(17)18)24-9(7)8(16)6(15)3-23-25(20,21)22/h5-9,14-16,19H,2-3H2,1H3,(H,12,13)(H,17,18)(H2,20,21,22)/t5-,6-,7+,8-,9+,11?/m1/s1",SQMNIXJSBCSNCI-KHLKYKDFSA-N
79,HMDB0006320,"2,6 Dimethylheptanoyl carnitine",C16H31NO4,301.4216,301.225308485,"3-[(2,6-dimethylheptanoyl)oxy]-4-(trimethylazaniumyl)butanoate",dimethyl heptanoyl carnitine,Nah,CC(C)CCCC(C)C(=O)OC(CC([O-])=O)C[N+](C)(C)C,"InChI=1S/C16H31NO4/c1-12(2)8-7-9-13(3)16(20)21-14(10-15(18)19)11-17(4,5)6/h12-14H,7-11H2,1-6H3",QBYXBONNCVATNQ-UHFFFAOYSA-N
80,HMDB0006343,Selenocystathionine,C7H14N2O4Se,269.17,270.011879,(2S)-2-amino-4-{[(2R)-2-amino-2-carboxyethyl]selanyl}butanoic acid,L-selenocystathionine,23809-95-2,N[C@@H](CC[Se]C[C@H](N)C(O)=O)C(O)=O,"InChI=1S/C7H14N2O4Se/c8-4(6(10)11)1-2-14-3-5(9)7(12)13/h4-5H,1-3,8-9H2,(H,10,11)(H,12,13)/t4-,5-/m0/s1",ZNWYDQPOUQRDLY-WHFBIAKZSA-N
81,HMDB0006535,"beta-1,4-Mannosyl-N-acetylglucosamine",C14H25NO11,383.35,383.142760629,"N-[(2R,3R,4R,5S,6R)-2,4-dihydroxy-6-(hydroxymethyl)-5-{[(2S,3S,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}oxan-3-yl]acetamide","N-[(2R,3R,4R,5S,6R)-2,4-dihydroxy-6-(hydroxymethyl)-5-{[(2S,3S,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}oxan-3-yl]acetamide",856224-94-7,CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H]1O,"InChI=1S/C14H25NO11/c1-4(18)15-7-9(20)12(6(3-17)24-13(7)23)26-14-11(22)10(21)8(19)5(2-16)25-14/h5-14,16-17,19-23H,2-3H2,1H3,(H,15,18)/t5-,6-,7-,8-,9-,10+,11+,12-,13-,14+/m1/s1",KFEUJDWYNGMDBV-JVHZDDNZSA-N
82,HMDB0006581,3-Sialyl-N-acetyllactosamine,C25H42N2O19,674.603,674.238177172,"(2R,4S,5R,6R)-5-acetamido-2-{[(2S,3R,4S,5S,6R)-2-{[(2R,3S,4R,5R)-6-acetamido-4,5-dihydroxy-2-(hydroxymethyl)oxan-3-yl]oxy}-3,5-dihydroxy-6-(hydroxymethyl)oxan-4-yl]oxy}-4-hydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxylic acid","(2R,4S,5R,6R)-5-acetamido-2-{[(2S,3R,4S,5S,6R)-2-{[(2R,3S,4R,5R)-6-acetamido-4,5-dihydroxy-2-(hydroxymethyl)oxan-3-yl]oxy}-3,5-dihydroxy-6-(hydroxymethyl)oxan-4-yl]oxy}-4-hydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxylic acid",81693-22-3,[H][C@]1(O[C@](C[C@H](O)[C@H]1NC(C)=O)(O[C@H]1[C@@H](O)[C@@H](CO)O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(NC(C)=O)O[C@@H]2CO)[C@@H]1O)C(O)=O)[C@H](O)[C@H](O)CO,"InChI=1S/C25H42N2O19/c1-7(31)26-13-9(33)3-25(24(40)41,45-20(13)14(35)10(34)4-28)46-21-15(36)11(5-29)43-23(18(21)39)44-19-12(6-30)42-22(27-8(2)32)17(38)16(19)37/h9-23,28-30,33-39H,3-6H2,1-2H3,(H,26,31)(H,27,32)(H,40,41)/t9-,10+,11+,12+,13+,14+,15-,16+,17+,18+,19+,20+,21-,22?,23-,25+/m0/s1",HUNVSYPDCXFGLB-KROWHOKKSA-N
83,HMDB0010314,Beta-D-Glucopyranuronic acid,C13H14O9,314.2449,314.063782046,"(2S,3S,4S,5R,6S)-3,4,5-trihydroxy-6-(2-hydroxybenzoyloxy)oxane-2-carboxylic acid","(2S,3S,4S,5R,6S)-3,4,5-trihydroxy-6-(2-hydroxybenzoyloxy)oxane-2-carboxylic acid",29315-53-5,O[C@@H]1[C@@H](O)[C@H](OC(=O)C2=CC=CC=C2O)O[C@@H]([C@H]1O)C(O)=O,"InChI=1S/C13H14O9/c14-6-4-2-1-3-5(6)12(20)22-13-9(17)7(15)8(16)10(21-13)11(18)19/h1-4,7-10,13-17H,(H,18,19)/t7-,8-,9+,10-,13-/m0/s1",IXVVXKRKCLJCKA-UNLLLRGISA-N
84,HMDB0011637,Taurohyocholate,C26H45NO7S,515.703,515.291673489,"2-[(4R)-4-[(2R,5R,7R,8R,9S,15R)-5,8,9-trihydroxy-2,15-dimethyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-14-yl]pentanamido]ethane-1-sulfonic acid","2-[(4R)-4-[(2R,5R,7R,8R,9S,15R)-5,8,9-trihydroxy-2,15-dimethyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-14-yl]pentanamido]ethanesulfonic acid",117997-17-8,[H][C@@]12C[C@H](O)CC[C@]1(C)C1CC[C@]3(C)C(CCC3C1[C@H](O)[C@@H]2O)[C@H](C)CCC(=O)NCCS(O)(=O)=O,"InChI=1S/C26H45NO7S/c1-15(4-7-21(29)27-12-13-35(32,33)34)17-5-6-18-22-19(9-11-25(17,18)2)26(3)10-8-16(28)14-20(26)23(30)24(22)31/h15-20,22-24,28,30-31H,4-14H2,1-3H3,(H,27,29)(H,32,33,34)/t15-,16-,17?,18?,19?,20+,22?,23-,24+,25-,26-/m1/s1",XSOLDPYUICCHJX-RBPXSRGGSA-N
85,HMDB0011659,2-Methylerythritol,C5H12O4,136.1464,136.073558872,"(3S)-2-methylbutane-1,2,3,4-tetrol","(3S)-2-methylbutane-1,2,3,4-tetrol",93921-83-6,CC(O)(CO)[C@@H](O)CO,"InChI=1S/C5H12O4/c1-5(9,3-7)4(8)2-6/h4,6-9H,2-3H2,1H3/t4-,5+/m0/s1",HGVJFBSSLICXEM-CRCLSJGQSA-N
86,HMDB0011663,3-Hydroxyphenylpyruvic acid,C9H8O4,180.1574,180.042258744,3-(3-hydroxyphenyl)-2-oxopropanoic acid,3-(3-hydroxyphenyl)-2-oxopropanoic acid,Nah,OC(=O)C(=O)CC1=CC(O)=CC=C1,"InChI=1S/C9H8O4/c10-7-3-1-2-6(4-7)5-8(11)9(12)13/h1-4,10H,5H2,(H,12,13)",PNYWALDMLUDDTA-UHFFFAOYSA-N
