accession,name,synonyms,chemical_formula,average_molecular_weight,monisotopic_molecular_weight,iupac_name,traditional_iupac,cas_registry_number,smiles,inchi,inchikey
HMDB0000912,Succinyladenosine,"(S)-N-(1,2-Dicarboxyethyl)-adenosine|6-(1,2-Dicarboxyethylamino)-9-beta-D-ribofuranosylpurine|N-(9-beta-D-Ribofuranosyl-9H-purin-6-yl)-L-aspartic acid|N-9-Ribofuranosyl-9H-purin-6-yl-aspartic acid|Succinoadenosine|6-(1,2-Dicarboxyethylamino)-9-b-D-ribofuranosylpurine|6-(1,2-Dicarboxyethylamino)-9-β-D-ribofuranosylpurine|N-(9-b-D-Ribofuranosyl-9H-purin-6-yl)-L-aspartate|N-(9-b-D-Ribofuranosyl-9H-purin-6-yl)-L-aspartic acid|N-(9-beta-D-Ribofuranosyl-9H-purin-6-yl)-L-aspartate|N-(9-Β-D-ribofuranosyl-9H-purin-6-yl)-L-aspartate|N-(9-Β-D-ribofuranosyl-9H-purin-6-yl)-L-aspartic acid|N-9-Ribofuranosyl-9H-purin-6-yl-aspartate|6-(1,2-Dicarboxyethylamino)-9-beta-delta-ribofuranosylpurine|N-(9-beta-delta-Ribofuranosyl-9H-purin-6-yl)-L-aspartate|N-(9-beta-delta-Ribofuranosyl-9H-purin-6-yl)-L-aspartic acid",C14H17N5O8,383.3135,383.107712545,"(2S)-2-({9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-9H-purin-6-yl}amino)butanedioic acid",atp - adenosine triphosphate,4542-23-8,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N[C@@H](CC(O)=O)C(O)=O)N=CN=C12,"InChI=1S/C14H17N5O8/c20-2-6-9(23)10(24)13(27-6)19-4-17-8-11(15-3-16-12(8)19)18-5(14(25)26)1-7(21)22/h3-6,9-10,13,20,23-24H,1-2H2,(H,21,22)(H,25,26)(H,15,16,18)/t5-,6+,9+,10+,13+/m0/s1",VKGZCEJTCKHMRL-VWJPMABRSA-N
HMDB0000929,L-Tryptophan,(2S)-2-Amino-3-(1H-indol-3-yl)propanoic acid|(S)-alpha-Amino-1H-indole-3-propanoic acid|(S)-alpha-Amino-beta-(3-indolyl)-propionic acid|(S)-Tryptophan|L-(-)-Tryptophan|L-beta-3-Indolylalanine|Trp|Tryptophan|W|(2S)-2-Amino-3-(1H-indol-3-yl)propanoate|(S)-a-Amino-1H-indole-3-propanoate|(S)-a-Amino-1H-indole-3-propanoic acid|(S)-alpha-Amino-1H-indole-3-propanoate|(S)-Α-amino-1H-indole-3-propanoate|(S)-Α-amino-1H-indole-3-propanoic acid|(S)-a-Amino-b-(3-indolyl)-propionate|(S)-a-Amino-b-(3-indolyl)-propionic acid|(S)-alpha-Amino-beta-(3-indolyl)-propionate|(S)-Α-amino-β-(3-indolyl)-propionate|(S)-Α-amino-β-(3-indolyl)-propionic acid|L-b-3-Indolylalanine|L-Β-3-indolylalanine|(-)-Tryptophan|(L)-Tryptophan|(S)-1H-Indole-3-alanine|(S)-2-Amino-3-(3-indolyl)propionic acid|(S)-a-Amino-b-indolepropionate|(S)-a-Amino-b-indolepropionic acid|(S)-a-Aminoindole-3-propionate|(S)-a-Aminoindole-3-propionic acid|(S)-alpha-Amino-beta-indolepropionate|(S)-alpha-Amino-beta-indolepropionic acid|(S)-alpha-Aminoindole-3-propionate|(S)-alpha-Aminoindole-3-propionic acid|1-beta-3-Indolylalanine|1beta-3-Indolylalanine|1H-Indole-3-alanine|2-Amino-3-indolylpropanoate|2-Amino-3-indolylpropanoic acid|3-(1H-indol-3-yl)-L-Alanine|3-indol-3-Ylalanine|Alpha'-amino-3-indolepropionic acid|alpha-Aminoindole-3-propionic acid|Ardeytropin|H-TRP-OH|Indole-3-alanine|Kalma|L-alpha-Amino-3-indolepropionic acid|L-alpha-Aminoindole-3-propionic acid|L-Tryptofan|L-Tryptophane|Lopac-T-0254|Lyphan|Optimax|Pacitron|Sedanoct|Triptofano|Trofan|Tryptacin|Tryptan|Tryptophane|Tryptophanum|Ardeydorm|L Tryptophan|L-Tryptophan-ratiopharm|Merck brand OF tryptophan|Niddapharm brand OF tryptophan|ICN brand OF tryptophan|Levotryptophan|PMS Tryptophan|PMS-Tryptophan|Ratiopharm brand OF tryptophan|Esparma brand OF tryptophan|Ratio-tryptophan|L Tryptophan ratiopharm|Naturruhe|Tryptophan metabolism alterations|Ardeypharm brand OF tryptophan|Kalma brand OF tryptophan|Pharmascience brand OF tryptophan|Upsher-smith brand OF tryptophan|Ratio tryptophan,C11H12N2O2,204.2252,204.089877638,(2S)-2-amino-3-(1H-indol-3-yl)propanoic acid,L-tryptophan,73-22-3,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1",QIVBCDIJIAJPQS-VIFPVBQESA-N
HMDB0000939,S-Adenosylhomocysteine,"(2S)-2-Amino-4-({[(2S,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxytetrahydrofuran-2-yl]methyl}sulfanyl)butanoic acid|2-S-Adenosyl-L-homocysteine|Adenosyl-L-homocysteine|Adenosylhomocysteine|AdoHcy|S-(5'-Adenosyl)-L-homocysteine|S-[1-(Adenin-9-yl)-1,5-dideoxy-beta-D-ribofuranos-5-yl]-L-homocysteine|SAH|(2S)-2-Amino-4-({[(2S,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxytetrahydrofuran-2-yl]methyl}sulfanyl)butanoate|(2S)-2-Amino-4-({[(2S,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxytetrahydrofuran-2-yl]methyl}sulphanyl)butanoate|(2S)-2-Amino-4-({[(2S,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxytetrahydrofuran-2-yl]methyl}sulphanyl)butanoic acid|S-[1-(Adenin-9-yl)-1,5-dideoxy-b-D-ribofuranos-5-yl]-L-homocysteine|S-[1-(Adenin-9-yl)-1,5-dideoxy-β-D-ribofuranos-5-yl]-L-homocysteine|(S)-5'-(S)-(3-Amino-3-carboxypropyl)-5'-thioadenosine|5'-Deoxy-S-adenosyl-L-homocysteine|5'-S-(3-Amino-3-carboxypropyl)-5'-thio-L-adenosine|Adenosyl-homo-cys|Adenosylhomo-cys|Formycinylhomocysteine|L-5'-S-(3-Amino-3-carboxypropyl)-5'-thior-adenosine|L-S-Adenosyl-homocysteine|L-S-Adenosylhomocysteine|S-(5'-Deoxyadenosin-5'-yl)-L-homocysteine|S-(5'-Deoxyadenosine-5')-L-homocysteine|S-Adenosyl-homocysteine|S-Adenosyl-L-homocysteine|Adenosylhomocysteine, S|S Adenosylhomocysteine",C14H20N6O5S,384.411,384.12158847,"(2S)-2-amino-4-({[(2S,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl}sulfanyl)butanoic acid",S-adenosyl-L-homocysteine,979-92-0,N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N)C(O)=O,"InChI=1S/C14H20N6O5S/c15-6(14(23)24)1-2-26-3-7-9(21)10(22)13(25-7)20-5-19-8-11(16)17-4-18-12(8)20/h4-7,9-10,13,21-22H,1-3,15H2,(H,23,24)(H2,16,17,18)/t6-,7+,9+,10+,13+/m0/s1",ZJUKTBDSGOFHSH-WFMPWKQPSA-N
HMDB0000990,Acetaldehyde,Acetaldehyd|Acetaldehydes|Acetic aldehyde|Azetaldehyd|Ethanal|Ethyl aldehyde|Aldehyde,C2H4O,44.0526,44.02621475,acetaldehyde,acetaldehyde,75-07-0,CC=O,"InChI=1S/C2H4O/c1-2-3/h2H,1H3",IKHGUXGNUITLKF-UHFFFAOYSA-N
HMDB0000996,3-Sulfinoalanine,(2R)-2-Amino-3-sulfinopropanoic acid|3-Sulphino-L-alanine|L-Cysteinesulfinic acid|(2R)-2-Amino-3-sulfinopropanoate|(2R)-2-Amino-3-sulphinopropanoate|(2R)-2-Amino-3-sulphinopropanoic acid|3-Sulfino-L-alanine|L-Cysteinesulfinate|L-Cysteinesulphinate|L-Cysteinesulphinic acid|3-Sulphinoalanine|3-Sulfinato-L-alaninic acid|3-Sulphinato-L-alaninate|3-Sulphinato-L-alaninic acid|Cysteine hydrogen sulfite ester|Alanine 3-sulfinic acid|Cysteine sulfinate|Cysteine sulfinic acid|3-Sulfinato-L-alaninate|Alanine-3-sulfinic acid|Alaninesulfinic acid|Cysteinesulfinate|Cysteinesulfinic acid|L-2-Amino-3-sulfinopropionic acid|3-Sulfinoalanine,C3H7NO4S,153.157,153.009578407,(2R)-2-amino-3-[(R)-sulfino]propanoic acid,3-sulfinoalanine,1115-65-7,N[C@@H](CS(O)=O)C(O)=O,"InChI=1S/C3H7NO4S/c4-2(3(5)6)1-9(7)8/h2H,1,4H2,(H,5,6)(H,7,8)/t2-/m0/s1",ADVPTQAUNPRNPO-REOHCLBHSA-N
HMDB0001035,Angiotensin II,"5-Isoleucine-angiotensin II|5-L-Isoleucineangiotensin II|Angiotensin|Angiotensin II (human)|Angiotensin II (mouse)|Angiotonin|Asp-arg-val-tyr-ile-his-pro-phe|Human angiotensin II|Hypertensin|Isoleucine(5)-angiotensin II|N-(1-(N-(N-(N-(N-(N(2)-L-alpha-Aspartyl-L-arginyl)-L-valyl)-L-tyrosyl)-L-isoleucyl)-L-histidyl)-L-prolyl)-L-phenylalanine|Delivert|N-(1-(N-(N-(N-(N-(N(2)-L-a-Aspartyl-L-arginyl)-L-valyl)-L-tyrosyl)-L-isoleucyl)-L-histidyl)-L-prolyl)-L-phenylalanine|N-(1-(N-(N-(N-(N-(N(2)-L-Α-aspartyl-L-arginyl)-L-valyl)-L-tyrosyl)-L-isoleucyl)-L-histidyl)-L-prolyl)-L-phenylalanine|1-8-Angiotensin I|1-L-Aspasaginyl-5-L-valyl angiotensin octapeptide|Ang II|Angiotensin 2|Ile(5)-angiotensin II|II, 5-L-isoleucine angiotensin|Isoleucyl(5)-angiotensin II|Angiotensin II, 5-L-isoleucine|Valyl(5)-angiotensin II|ANG-(1-8)octapeptide|Isoleucine(5)-angiotensin|5 L Isoleucine angiotensin II|5-L-Isoleucine angiotensin II|Angiotensin-(1-8) octapeptide",C50H71N13O12,1046.1786,1045.534514801,"(3S)-3-amino-3-{[(1S)-1-{[(1S)-1-{[(1S)-1-{[(1S,2S)-1-{[(2S)-1-[(2S)-2-{[(1S)-1-carboxy-2-phenylethyl]carbamoyl}pyrrolidin-1-yl]-3-(1H-imidazol-5-yl)-1-oxopropan-2-yl]carbamoyl}-2-methylbutyl]carbamoyl}-2-(4-hydroxyphenyl)ethyl]carbamoyl}-2-methylpropyl]carbamoyl}-4-[(diaminomethylidene)amino]butyl]carbamoyl}propanoic acid","(3S)-3-amino-3-{[(1S)-1-{[(1S)-1-{[(1S)-1-{[(1S,2S)-1-{[(2S)-1-[(2S)-2-{[(1S)-1-carboxy-2-phenylethyl]carbamoyl}pyrrolidin-1-yl]-3-(3H-imidazol-4-yl)-1-oxopropan-2-yl]carbamoyl}-2-methylbutyl]carbamoyl}-2-(4-hydroxyphenyl)ethyl]carbamoyl}-2-methylpropyl]carbamoyl}-4-[(diaminomethylidene)amino]butyl]carbamoyl}propanoic acid",11128-99-7,CC[C@H](C)[C@H](NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)CC(O)=O)C(C)C)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,"InChI=1S/C50H71N13O12/c1-5-28(4)41(47(72)59-36(23-31-25-54-26-56-31)48(73)63-20-10-14-38(63)45(70)60-37(49(74)75)22-29-11-7-6-8-12-29)62-44(69)35(21-30-15-17-32(64)18-16-30)58-46(71)40(27(2)3)61-43(68)34(13-9-19-55-50(52)53)57-42(67)33(51)24-39(65)66/h6-8,11-12,15-18,25-28,33-38,40-41,64H,5,9-10,13-14,19-24,51H2,1-4H3,(H,54,56)(H,57,67)(H,58,71)(H,59,72)(H,60,70)(H,61,68)(H,62,69)(H,65,66)(H,74,75)(H4,52,53,55)/t28-,33-,34-,35-,36-,37-,38-,40-,41-/m0/s1",CZGUSIXMZVURDU-JZXHSEFVSA-N
HMDB0001043,Arachidonic acid,"(5Z,8Z,11Z,14Z)-5,8,11,14-Icosatetraenoic acid|(5Z,8Z,11Z,14Z)-Icosatetraenoic acid|AA|all-cis-5,8,11,14-Eicosatetraenoic acid|ARA|Arachidonate|Arachidonsaeure|cis-5,8,11,14-Eicosatetraenoic acid|cis-Delta(5,8,11,14)-Eicosatetraenoic acid|5Z,8Z,11Z,14Z-Eicosatetraenoic acid|(5Z,8Z,11Z,14Z)-Icosa-5,8,11,14-tetraenoic acid|(5Z,8Z,11Z,14Z)-5,8,11,14-Icosatetraenoate|(5Z,8Z,11Z,14Z)-Icosatetraenoate|all-cis-5,8,11,14-Eicosatetraenoate|cis-5,8,11,14-Eicosatetraenoate|cis-delta(5,8,11,14)-Eicosatetraenoate|cis-Δ(5,8,11,14)-eicosatetraenoate|cis-Δ(5,8,11,14)-eicosatetraenoic acid|5Z,8Z,11Z,14Z-Eicosatetraenoate|(5Z,8Z,11Z,14Z)-Icosa-5,8,11,14-tetraenoate|(all-Z)-5,8,11,14-Eicosatetraenoate|(all-Z)-5,8,11,14-Eicosatetraenoic acid|5,8,11,14-all-cis-Eicosatetraenoate|5,8,11,14-all-cis-Eicosatetraenoic acid|5,8,11,14-Eicosatetraenoate|5,8,11,14-Eicosatetraenoic acid|5-cis,8-cis,11-cis,14-cis-Eicosatetraenoate|5-cis,8-cis,11-cis,14-cis-Eicosatetraenoic acid|cis-D5,8,11,14-Eicosatetraenoate|cis-D5,8,11,14-Eicosatetraenoic acid|Immunocytophyte|Arachidonate, sodium|Arachidonic acid, (all-Z)-isomer, 3H-labeled|Arachidonic acid, ammonium salt, (all-Z)-isomer|Arachidonic acid, cerium salt, (all-Z)-isomer|Arachidonic acid, sodium salt|Arachidonic acid, sodium salt, (all-Z)-isomer|Vitamin F|Arachidonic acid, cesium salt, (all-Z)-isomer|Arachidonic acid, lithium salt, (all-Z)-isomer|Arachidonic acid, potassium salt, (all-Z)-isomer|Sodium arachidonate|Arachidonic acid, (all-Z)-isomer, 1-(14)C-labeled|Arachidonic acid, zinc salt, (all-Z)-isomer|FA(20:4(5Z,8Z,11Z,14Z))|FA(20:4n6)",C20H32O2,304.4669,304.240230268,"(5Z,8Z,11Z,14Z)-icosa-5,8,11,14-tetraenoic acid",arachidonic acid,506-32-1,CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,"InChI=1S/C20H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13,15-16H,2-5,8,11,14,17-19H2,1H3,(H,21,22)/b7-6-,10-9-,13-12-,16-15-",YZXBAPSDXZZRGB-DOFZRALJSA-N
HMDB0001046,Cotinine,Cotinine(15% OF the dose)|(-)-Cotinine|(S)-(-)-Cotinine|(S)-Cotinine|Cotinina|Cotininum|S-(-)-Cotinine,C10H12N2O,176.2151,176.094963016,1-methyl-5-(pyridin-3-yl)pyrrolidin-2-one,(-)-cotinine,486-56-6,CN1C(CCC1=O)C1=CN=CC=C1,"InChI=1S/C10H12N2O/c1-12-9(4-5-10(12)13)8-3-2-6-11-7-8/h2-3,6-7,9H,4-5H2,1H3",UIKROCXWUNQSPJ-UHFFFAOYSA-N
HMDB0001067,N-Acetylaspartylglutamic acid,Isospaglumic acid|N-Ac-D-e|N-Acetyl-1-aspartylglutamic acid|N-Acetyl-L-asp-L-glu|NAAG|Isospaglumate|N-Acetyl-1-aspartylglutamate|N-Acetylaspartylglutamate|N-Acetyl-L-alpha-aspartylglutamic acid|N-Acetyl-aspartyl-glutamate|N-Acetyl-1-asp-glu|N-(N-Acetyl-L-alpha-aspartyl)-L-glutamic acid|Naaxia|NAAGA|N-Acetyl-aspartyl-glutamic acid|Acetyl-alpha-L-aspartylglutamic acid|Acetyl-α-L-aspartylglutamic acid|N-(N-Acetylaspartyl)glutamic acid|N-Acetyl-L-alpha-aspartyl-L-glutamic acid|N-Acetyl-L-aspartyl-L-glutamic acid|N-Acetyl-L-α-aspartyl-L-glutamic acid|N-Acetyl-alpha-L-aspartyl-L-glutamic acid|N-Acetyl-alpha-aspartylglutamic acid|N-Acetyl-α-L-aspartyl-L-glutamic acid|N-Acetyl-α-aspartylglutamic acid|alpha-Spaglumic acid|Α-spaglumic acid|N-Acetylaspartylglutamic acid,C11H16N2O8,304.255,304.090665483,(2S)-2-[(2S)-3-carboxy-2-acetamidopropanamido]pentanedioic acid,N-acetylaspartylglutamic acid,3106-85-2,CC(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(O)=O,"InChI=1S/C11H16N2O8/c1-5(14)12-7(4-9(17)18)10(19)13-6(11(20)21)2-3-8(15)16/h6-7H,2-4H2,1H3,(H,12,14)(H,13,19)(H,15,16)(H,17,18)(H,20,21)/t6-,7-/m0/s1",OPVPGKGADVGKTG-BQBZGAKWSA-N
HMDB0001085,Leukotriene B4,"(5S,12R,6Z,8E,10E,14Z)-5,12-Dihydroxy-6,8,10,14-eicosatetraenoic acid|(5S,6Z,8E,10E,12R,14Z)-5,12-Dihydroxyeicosa-6,8,10,14-tetraenoic acid|(S-(R*,s*-(e,Z,e,Z)))-5,12-dihydroxy-6,8,10,14-eicosatetraenoic acid|5(S),12(R)-Dihydroxy-6(Z),8(e),10(e),14(Z)-eicosatetraenoic acid|5(S),12(R)-Dihydroxy-6(Z),8(e),10(e),14(Z)-icosatetraenoic acid|5,12-Dihete|5,12-Hete|5S,12R-Dihydroxy-6Z,8E,10E,14Z-eicosatetraenoic acid|LTB4|(6Z,8E,10E,14Z)-(5S,12R)-5,12-Dihydroxyeicosa-6,8,10,14-tetraenoate|(6Z,8E,10E,14Z)-(5S,12R)-5,12-Dihydroxyicosa-6,8,10,14-tetraenoate|(5S,12R,6Z,8E,10E,14Z)-5,12-Dihydroxy-6,8,10,14-eicosatetraenoate|(5S,6Z,8E,10E,12R,14Z)-5,12-Dihydroxyeicosa-6,8,10,14-tetraenoate|(S-(R*,s*-(e,Z,e,Z)))-5,12-dihydroxy-6,8,10,14-eicosatetraenoate|5(S),12(R)-Dihydroxy-6(Z),8(e),10(e),14(Z)-eicosatetraenoate|5(S),12(R)-Dihydroxy-6(Z),8(e),10(e),14(Z)-icosatetraenoate|5S,12R-Dihydroxy-6Z,8E,10E,14Z-eicosatetraenoate|(6Z,8E,10E,14Z)-(5S,12R)-5,12-Dihydroxyeicosa-6,8,10,14-tetraenoic acid|(6Z,8E,10E,14Z)-(5S,12R)-5,12-Dihydroxyicosa-6,8,10,14-tetraenoic acid|5,12 HETE|5,12 DiHETE|Leukotriene b-4|Leukotrienes b|b-4, Leukotriene|Leukotriene b 4|Leukotriene b|5,12-Dihydroxy-6,10-trans -8,14-cis -eicosatetraenoate|5,12-Dihydroxy-6,10-trans -8,14-cis -eicosatetraenoic acid|Leukotriene b4 ethanol solution|(+)-Leukotriene b4|(5S,12R)-Leukotriene b4|5(S),12(R)-Dihydroxy-6-cis,8,10-trans,14-cis-eicosatetraenoic acid|Leucotriene b4|cis-Leukotriene b4|Leukotriene B4",C20H32O4,336.4657,336.230059512,"(5S,6Z,8E,10E,12R,14Z)-5,12-dihydroxyicosa-6,8,10,14-tetraenoic acid",leukotriene B4,71160-24-2,CCCCC\C=C/C[C@@H](O)\C=C\C=C\C=C/[C@@H](O)CCCC(O)=O,"InChI=1S/C20H32O4/c1-2-3-4-5-6-9-13-18(21)14-10-7-8-11-15-19(22)16-12-17-20(23)24/h6-11,14-15,18-19,21-22H,2-5,12-13,16-17H2,1H3,(H,23,24)/b8-7+,9-6-,14-10+,15-11-/t18-,19-/m1/s1",VNYSSYRCGWBHLG-AMOLWHMGSA-N
HMDB0001123,2-Aminobenzoic acid,"2-Aminobenzoesaeure|2-Carboxyaniline|O-Aminobenzoesaeure|O-Aminobenzoic acid|O-Carboxyaniline|Vitamin L1|Anthranilic acid|2-Aminobenzoate|O-Aminobenzoate|Anthranilate|Anthranilic acid, cadmium salt|Anthranilic acid, calcium (2:1) salt|Anthranilic acid, monolithium salt|Sodium anthranilate|Anthranilic acid, dihydrochloride|Anthranilic acid, hydrochloride|Anthranilic acid, monosodium salt|1-Amino-2-carboxybenzene|2-Amino-benzoate|2-Amino-benzoic acid|2-Aminophenylacetate|2-Aminophenylacetic acid|Anthranate|Anthranic acid|Anthranilic acid GR|Carboxyaniline|H-2-Abz-OH|Kyselina anthranilova|Kyselina O-aminobenzoova|O-Amino-benzoate|O-Amino-benzoic acid|O-Anthranilate|O-Anthranilic acid|Ortho-amidobenzoate|Ortho-amidobenzoic acid|Ortho-aminobenzoate|Ortho-aminobenzoic acid|Vitamin L",C7H7NO2,137.136,137.047678473,2-aminobenzoic acid,2-aminobenzoic acid,118-92-3,NC1=CC=CC=C1C(O)=O,"InChI=1S/C7H7NO2/c8-6-4-2-1-3-5(6)7(9)10/h1-4H,8H2,(H,9,10)",RWZYAGGXGHYGMB-UHFFFAOYSA-N
HMDB0001139,Prostaglandin F2a,"(+)-Prostaglandin F2a|(5Z,13E)-(15S)-9-alpha,11-alpha,15-Trihydroxyprosta-5,13-dienoate|(5Z,13E)-(15S)-9-alpha,11-alpha,15-Trihydroxyprosta-5,13-dienoic acid|(5Z,13E,15S)-9a,11a,15-Trihydroxyprosta-5,13-dien-1-Oate|(5Z,13E,15S)-9a,11a,15-Trihydroxyprosta-5,13-dien-1-Oic acid|(5Z,9a,11a,13E,15S)-9,11,15-Trihydroxy-prosta-5,13-dien-1-Oate|(5Z,9a,11a,13E,15S)-9,11,15-Trihydroxy-prosta-5,13-dien-1-Oic acid|(9alpha,11alpha,15)-Trihydroxyprosta-(5Z,13E)-dien-1-Oate|(9alpha,11alpha,15)-Trihydroxyprosta-(5Z,13E)-dien-1-Oic acid|7-[3,5-Dihydroxy-2-(3-hydroxy-1-octenyl)cyclopentyl]-5-heptenoate|7-[3,5-Dihydroxy-2-(3-hydroxy-1-octenyl)cyclopentyl]-5-heptenoic acid|9,11,15-Trihydroxy-(5Z,9a,11a,13E,15S)-prosta-5,13-dien-1-Oate|9,11,15-Trihydroxy-(5Z,9a,11a,13E,15S)-prosta-5,13-dien-1-Oic acid|9,11,15-Trihydroxyprosta-5Z,13E-dien-1-Oate|9,11,15-Trihydroxyprosta-5Z,13E-dien-1-Oic acid|9a,11a,15(S)-Trihydroxy-5-cis-13-trans-prostadienoate|9a,11a,15(S)-Trihydroxy-5-cis-13-trans-prostadienoic acid|9a,11a-PGF2|9a,11a-PGF2a|Amoglandin|Cyclosin|Dinifertin|Dinoprost|Enzaprost|Enzaprost F|F2a Isoprostane|Glandin N|L-PGF2-alpha|L-Prostaglandin F2-alpha|Panacelan|PGF2a|Prostaglandin F2|Prostamate|Prostarmon F|Prostin F 2 alpha|Protamodin|9alpha,11beta PGF2|9alpha,11beta-PGF2|Estrofan|F2 alpha, Prostaglandin|F2alpha, Prostaglandin|PGF2|PGF2 alpha|PGF2alpha|Prostaglandin F2 alpha|Prostaglandin F2alpha|alpha, PGF2",C20H34O5,354.481,354.240624198,"(5E)-7-[(1R,2R,3R,5S)-3,5-dihydroxy-2-[(1E,3S)-3-hydroxyoct-1-en-1-yl]cyclopentyl]hept-5-enoic acid",5-trans-PGF2α,551-11-1,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C\CCCC(O)=O,"InChI=1S/C20H34O5/c1-2-3-6-9-15(21)12-13-17-16(18(22)14-19(17)23)10-7-4-5-8-11-20(24)25/h4,7,12-13,15-19,21-23H,2-3,5-6,8-11,14H2,1H3,(H,24,25)/b7-4+,13-12+/t15-,16+,17+,18-,19+/m0/s1",PXGPLTODNUVGFL-UAAPODJFSA-N
HMDB0001185,S-Adenosylmethionine,"(3S)-5'-[(3-Amino-3-carboxypropyl)methylsulfonio]-5'-deoxyadenosine, inner salt|[1-(Adenin-9-yl)-1,5-dideoxy-beta-D-ribofuranos-5-yl][(3S)-3-amino-3-carboxypropyl](methyl)sulfonium|Acylcarnitine|AdoMet|S-(5'-Deoxyadenosin-5'-yl)-L-methionine|SAM|SAMe|(3S)-5'-[(3-Amino-3-carboxypropyl)methylsulphonio]-5'-deoxyadenosine, inner salt|[1-(Adenin-9-yl)-1,5-dideoxy-b-D-ribofuranos-5-yl][(3S)-3-amino-3-carboxypropyl](methyl)sulfonium|[1-(Adenin-9-yl)-1,5-dideoxy-b-D-ribofuranos-5-yl][(3S)-3-amino-3-carboxypropyl](methyl)sulphonium|[1-(Adenin-9-yl)-1,5-dideoxy-beta-D-ribofuranos-5-yl][(3S)-3-amino-3-carboxypropyl](methyl)sulphonium|[1-(Adenin-9-yl)-1,5-dideoxy-β-D-ribofuranos-5-yl][(3S)-3-amino-3-carboxypropyl](methyl)sulfonium|[1-(Adenin-9-yl)-1,5-dideoxy-β-D-ribofuranos-5-yl][(3S)-3-amino-3-carboxypropyl](methyl)sulphonium|(3S)-5'-[(3-Amino-3-carboxypropyl)methylsulfonio]-5'-deoxyadenosine|2-S-Adenosyl-L-methionine|5'-Deoxyadenosine-5'-L-methionine disulfate ditosylate|5'-Deoxyadenosine-5'-L-methionine disulphate ditosylate|Active methionine|Ademetionine|Adenosylmethionine|Donamet|L-S-Adenosylmethionine|S-(5'-Adenosyl)-L-methionine|S-Adenosyl methionine|S-Adenosyl-L-methionine|S-Adenosyl-L-methionine disulfate tosylate|S-Adenosyl-L-methionine disulphate tosylate|S-Adenosyl-methionine|ASTA medica brand OF ademetionine tosilate disulfate|S Adenosylmethionine sulfate tosylate|S-Adenosylmethionine sulfate tosylate|Sulfate tosylate, S-adenosylmethionine|Ademetionine europharma brand|Amet, S|Europharma brand OF ademetionine|Gumbaral|Knoll brand OF brand OF ademetionine tosilate disulfate|S Adenosylmethionine|S Amet|Samyr|Tosylate, S-adenosylmethionine sulfate|S Adenosyl L methionine|SAM-e",C15H23N6O5S,399.445,399.145063566,"[(3S)-3-amino-3-carboxypropyl]({[(2S,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl})methylsulfanium",SAMe,485-80-3,C[S+](CC[C@H](N)C(O)=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N,"InChI=1S/C15H22N6O5S/c1-27(3-2-7(16)15(24)25)4-8-10(22)11(23)14(26-8)21-6-20-9-12(17)18-5-19-13(9)21/h5-8,10-11,14,22-23H,2-4,16H2,1H3,(H2-,17,18,19,24,25)/p+1/t7-,8+,10+,11+,14+,27?/m0/s1",MEFKEPWMEQBLKI-AIRLBKTGSA-O
